Date,"Jurgen Klopp"
2019-09-21,58
2019-09-22,99
2019-09-23,143
2019-09-24,159
2019-09-25,132
2019-09-26,87
2019-09-27,79
2019-09-28,84
2019-09-29,63
2019-09-30,88
2019-10-01,77
2019-10-02,88
2019-10-03,93
2019-10-04,62
2019-10-05,119
2019-10-06,126
2019-10-07,109
2019-10-08,143
2019-10-09,86
2019-10-10,93
2019-10-11,85
2019-10-12,67
2019-10-13,64
2019-10-14,65
2019-10-15,73
2019-10-16,64
2019-10-17,51
2019-10-18,81
2019-10-19,50
2019-10-20,74
2019-10-21,78
2019-10-22,50
2019-10-23,57
2019-10-24,74
2019-10-25,69
2019-10-26,48
2019-10-27,70
2019-10-28,77
2019-10-29,71
2019-10-30,94
2019-10-31,98
2019-11-01,52
2019-11-02,94
2019-11-03,100
2019-11-04,88
2019-11-05,105
2019-11-06,83
2019-11-07,82
2019-11-08,85
2019-11-09,91
2019-11-10,222
2019-11-11,212
2019-11-12,157
2019-11-13,147
2019-11-14,91
2019-11-15,59
2019-11-16,70
2019-11-17,39
2019-11-18,53
2019-11-19,72
2019-11-20,173
2019-11-21,106
2019-11-22,86
2019-11-23,104
2019-11-24,78
2019-11-25,94
2019-11-26,110
2019-11-27,97
2019-11-28,60
2019-11-29,109
2019-11-30,97
2019-12-01,89
2019-12-02,97
2019-12-03,79
2019-12-04,110
2019-12-05,148
2019-12-06,99
2019-12-07,99
2019-12-08,76
2019-12-09,102
2019-12-10,112
2019-12-11,
