Date,"Jurgen Klopp"
2016-06-18,42
2016-06-19,46
2016-06-20,61
2016-06-21,51
2016-06-22,48
2016-06-23,46
2016-06-24,35
2016-06-25,30
2016-06-26,60
2016-06-27,72
2016-06-28,60
2016-06-29,60
2016-06-30,51
2016-07-01,67
2016-07-02,83
2016-07-03,71
2016-07-04,64
2016-07-05,85
2016-07-06,86
2016-07-07,89
2016-07-08,213
2016-07-09,93
2016-07-10,65
2016-07-11,49
2016-07-12,50
2016-07-13,52
2016-07-14,49
2016-07-15,39
2016-07-16,41
2016-07-17,58
2016-07-18,47
2016-07-19,64
2016-07-20,86
2016-07-21,94
2016-07-22,93
2016-07-23,71
2016-07-24,54
2016-07-25,71
2016-07-26,61
2016-07-27,49
2016-07-28,78
2016-07-29,57
2016-07-30,59
2016-07-31,50
2016-08-01,61
2016-08-02,50
2016-08-03,42
2016-08-04,53
2016-08-05,53
2016-08-06,79
2016-08-07,117
2016-08-08,79
2016-08-09,74
2016-08-10,64
2016-08-11,81
2016-08-12,67
2016-08-13,60
2016-08-14,205
2016-08-15,125
2016-08-16,96
2016-08-17,89
2016-08-18,66
2016-08-19,80
2016-08-20,114
2016-08-21,71
2016-08-22,75
2016-08-23,76
2016-08-24,73
2016-08-25,151
2016-08-26,124
2016-08-27,183
2016-08-28,78
2016-08-29,91
2016-08-30,65
2016-08-31,65
2016-09-01,62
2016-09-02,51
2016-09-03,76
2016-09-04,65
2016-09-05,36
2016-09-06,50
2016-09-07,46
2016-09-08,58
2016-09-09,63
2016-09-10,120
2016-09-11,100
2016-09-12,71
2016-09-13,73
2016-09-14,83
2016-09-15,90
2016-09-16,255
2016-09-17,199
2016-09-18,144
2016-09-19,129
2016-09-20,116
2016-09-21,101
2016-09-22,113
2016-09-23,83
2016-09-24,99
2016-09-25,128
2016-09-26,198
2016-09-27,229
2016-09-28,123
2016-09-29,94
2016-09-30,131
2016-10-01,135
2016-10-02,80
2016-10-03,104
2016-10-04,81
2016-10-05,64
2016-10-06,63
2016-10-07,99
2016-10-08,103
2016-10-09,80
2016-10-10,57
2016-10-11,52
2016-10-12,49
2016-10-13,68
2016-10-14,104
2016-10-15,64
2016-10-16,73
2016-10-17,169
2016-10-18,86
2016-10-19,62
2016-10-20,49
2016-10-21,40
2016-10-22,92
2016-10-23,119
2016-10-24,85
2016-10-25,110
2016-10-26,78
2016-10-27,65
2016-10-28,70
